date,01_Fermentation,02_Homoacetogenesis,03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans),"04_Utililization of sugar, conversion of pentose to EMP pathway intermediates",05_Fatty acid oxidation,06_Amino acid utilization biosynthesis metabolism,07_Nucleic acid metabolism,08_Hydrocarbon degradation,09_Carbohydrate Active enzyme - CAZy,10_TCA cycle,11_Nitrogen cycle,12_Transporters,13_Hydrogen metabolism,14_Methanogenesis,15_Methylotrophy,16_Embden Meyerhof-Parnos (EMP),17_Gluconeogenesis,18_Sulfur compounds metabolism,19_Saccharide and derivated synthesis,20_Hydrolysis of polymers,21_Cellular response to stress
32.0,0.1086433534780438,0.01009397146855484,1.0838927061064466e-16,0.0007755767988693495,0.032908779676235705,0.1259164939583306,0.11218998525302948,0.005050547451077603,0.003513795805442652,0.04557201297038691,0.02574577672913499,0.015421404117164205,3.280835448543224e-17,0.0037913482217759374,0.011538102777833775,0.030149566736008673,0.016993379142691684,0.0035655619046375446,0.007429633282865542,0.00587349090803665,0.03629190675178383
33.0,0.10882048421106093,0.010093971040041233,4.3944628619067e-17,0.0007778534274633459,0.03246050833225513,0.12591649420064135,0.11218999524227063,0.005052880393398849,0.0035144484360666323,0.045572012847339666,0.025739298178521577,0.015391797294753307,9.870368713677638e-18,0.003821698434389177,0.011538102589584705,0.030149566526582447,0.016993379049269987,0.0035409047439198737,0.00741093332704713,0.00587188121329811,0.03629050049745939
34.0,0.10899744729038956,0.010093970611441306,1.815495078620108e-17,0.0007801309540919457,0.032012304679060063,0.12591649444290806,0.11219000523017672,0.005055214802565109,0.0035151011647587085,0.045572012724238595,0.02573155139167114,0.01536218450004737,2.684138992009025e-18,0.0038520564950331885,0.01153810240129229,0.030149566317038412,0.01699337895579785,0.0035162958852457244,0.007392212224588713,0.005870271798005106,0.03628909375864076
35.0,0.10917423660870183,0.010093970182754935,8.334891857780331e-18,0.0007824093354719594,0.031564167782000496,0.12591649468513247,0.11219001521674526,0.005057550679254075,0.0035157539936863155,0.04557201260108452,0.02572246300832415,0.015332575391022115,1.3748709227559756e-18,0.0038824224660495817,0.011538102212956803,0.030149566107377575,0.016993378862273572,0.003491734992921746,0.00737344060436198,0.005868662662080637,0.03628768653508037
36.0,0.10935084575591542,0.010093969753982267,5.8464444630940676e-18,0.0007846885279765666,0.031116096706562558,0.12591649492731208,0.11219002520198075,0.005059888024143765,0.0035164069250168063,0.04557201247787819,0.02571195959971334,0.015302979625181823,3.466524989109986e-18,0.003912796409796113,0.011538102024578245,0.03014956589759999,0.0169933787686982,0.0034672217319089036,0.007354588816334041,0.005867053805448566,0.03628627882653163
37.0,0.1095272680088716,0.010093969325123147,8.500698424148535e-18,0.000786968487638129,0.030668090518370727,0.12591649516944942,0.11219003518587939,0.005062226837912786,0.003517059960917623,0.045572012354620765,0.025699967665451674,0.015273406859669412,1.3098557539794382e-17,0.003943178388647153,0.011538101836156348,0.03014956568770544,0.01699337867507216,0.0034427557678179347,0.007335626921107033,0.00586544522803171,0.03628487063274814
38.0,0.10970349632099757,0.010093968896177752,1.8632412162095074e-17,0.0007892491701509882,0.03022014828318869,0.12591649541154593,0.11219004516844126,0.0050645671212400396,0.0035177131035562166,0.04557201223130754,0.0256864136304213,0.015243866751382413,4.360679800355816e-17,0.003973568464993564,0.011538101647691191,0.030149565477693655,0.016993378581394752,0.0034183367669047304,0.007316524679352085,0.00586383692975389,0.036283461953482664
39.0,0.1124226509281888,0.01055587332952,5.199937600748791e-05,0.0004159950080599033,0.0296916437002755,0.1169985960168478,0.1106026727679267,0.0056159326088086,0.0030159638084342,0.0471634340387915,0.0268836773958712,0.0154438146742239,0.0004679943840673912,0.0033799594404867,0.0112318652176173,0.0327076075087098,0.0160678071863137,0.0010399875201497,0.008319900161198,0.0063439238729135,0.036243565077219
40.0,0.11005534125722313,0.010093968038027647,1.921908419598548e-17,0.0007938125248345664,0.029650350853757498,0.12591649589560003,0.11219006512956678,0.005058964781522078,0.0035190197176231705,0.04557201198452389,0.02565432949147249,0.01518492325476371,4.365011539351563e-17,0.0040889757622318305,0.0115381012706314,0.030149565057319753,0.01699337839388597,0.0034274911908932153,0.0072777962706315116,0.005850541704062451,0.03628064313752134
41.0,0.11023094207746303,0.010093967608823343,1.0190096152082674e-17,0.0007960951067292302,0.029528494471292913,0.12591649613756678,0.11219007510812563,0.005051022156850527,0.003519673192828408,0.04557201186105508,0.02563568139343645,0.015155539907491333,1.3306376769204343e-17,0.004173993220117734,0.011538101082036867,0.030149564846957178,0.016993378300055192,0.0034610647406718635,0.007258225850567994,0.005838854776016354,0.03627923300032417
