days,Acidimicrobium,Acinetobacter,Albidiferax,Candidatus Microthrix,Chitinophaga pinensis,Dechloromonas,Haliscomenobacter,Intrasporangium,Leptospira,Other,Xanthomonas,mean abundance < 2%
118.0,7.518651397378796,11.99548688716265,5.6340907976199714,19.932786438767337,13.526147411186885,2.537058197583466,9.042052131885075,4.349569026439195,6.361830082986965,2.5534270736083338,3.7078657371113293,17.425423838431037
119.0,7.524046354431382,12.083347416833252,5.604002288289896,19.743364800682432,13.598197325821745,2.543602996661573,9.087403071076201,4.333507305845211,6.2633652452283455,2.5897532443679,3.7536630777697306,17.527590118131695
120.0,7.525289525142442,12.1404528233601,5.57389393064873,19.539051230116463,13.671067741393722,2.5495214724569064,9.133309946705952,4.314925987696362,6.165653276868118,2.627020519651989,3.801035153535664,17.629781458473158
121.0,7.522245397497185,12.165790432018317,5.543864417439354,19.320337286576198,13.745777804316086,2.55504345893073,9.179969190354786,4.293742189677179,6.069143492249124,2.6653281828588504,3.8502966131292164,17.731998005566215
122.0,7.514757524951708,12.158594933345139,5.513939184006772,19.087302863502327,13.823097539503303,2.5603277853240742,9.227498120642679,4.2699109575898095,5.974069728216525,2.7047973381402075,3.9017083316103376,17.834239905558697
123.0,7.502613611295486,12.118363724137474,5.484096879525101,18.839816201743627,13.903614742826884,2.5654816313792494,9.275919333714834,4.243413773826795,5.8804635316199185,2.7455585499525808,3.955494026975871,17.936507304633885
124.0,7.485527283397623,12.044870269291103,5.4542809329678485,18.577720560204696,13.9877741033692,2.5705717800043346,9.325133959302443,4.214254882009545,5.788165274787022,2.7877387462573533,4.011852642925894,18.038800349012266
125.0,7.463130300500242,11.938175162810296,5.424399377409092,18.30103864201968,14.075891630379276,2.575629109294093,9.374880718351584,4.182464974731091,5.696832261054056,2.831444037999029,4.070967017235001,18.14111918495052
126.0,7.434974701736475,11.798634555746649,5.394312956471308,18.01023046799515,14.168145332264745,2.580646886810026,9.424676981580923,4.148112927983356,5.605944455458713,2.8767341313291053,4.133009210467307,18.243463958742556
127.0,7.400549984721642,11.626905618980961,5.36380836104277,17.70654852764334,14.264540406747729,2.58557261412646,9.473737557985928,4.1113275258657,5.514810132043193,2.9235821695537156,4.198142515260034,18.34583481671843
128.0,7.359328396964503,11.423948721172518,5.332549504814879,17.392545643425976,14.364844361319033,2.5902923978686454,9.520867490740796,4.072332499661998,5.422575545801921,2.9718109014341514,4.266519580032831,18.44823190524699
129.0,7.310865429003274,11.191026027802817,5.299994315008744,17.072802869801087,14.468484925643237,2.594606239232357,9.56432811019153,4.031499525994196,5.328244691861094,3.020991964634358,4.3382751461944,18.550655370733416
130.0,7.255008635317593,10.929696266630403,5.265257252860346,16.754946702766585,14.574402329204561,2.598192641473465,9.601683368530574,3.9894243993968335,5.230717058816225,3.0702905416135486,4.413510415579344,18.653105359620742
131.0,7.192315358263151,10.641805457916549,5.2268902325929405,16.450991929294663,14.68084964361868,2.6005624797559177,9.629649403551515,3.9470296065746857,5.128852415188262,3.1182359446321315,4.492263812634393,18.75558201839111
132.0,7.1248579036661495,10.329473473955533,5.182554542875955,16.1789286600115,14.785144144721462,2.601006942784781,9.643997391847313,3.9056882199464416,5.021571068069284,3.162409243127207,4.5744598393853035,18.8580854935625
133.0,7.0576854852268625,9.995076370561062,5.128587440040959,15.964194977725414,14.883393271198662,2.598554942715831,9.639596591081661,3.8673435550063915,4.907994395305969,3.199082833033267,4.65982445305677,18.960615931693443
134.0,7.001166150809518,9.641224521446802,5.059580714474749,15.840195452096701,14.970250203916475,2.5919724860658495,9.610716751410619,3.834562371529355,4.787622666249062,3.222955685997592,4.747753990806006,19.063173479380037
135.0,6.973715518793635,9.27073668273113,4.968343231530184,15.846504743469978,15.03877954351978,2.57985301430197,9.551701342280287,3.810418063181904,4.660535190894164,3.227309112832642,4.83712929242762,19.165758283257226
136.0,7.00213664278947,8.88661021635126,4.846927203378942,16.023468843506503,15.080491951955159,2.5608410495388014,9.458026581796247,3.7981025657415937,4.527583690572034,3.2050345265392908,4.926082728700475,19.268370489999008
137.0,7.1142293993547465,9.653519132564258,4.689240860908674,15.706763972419612,15.085502567458876,2.533976359180229,9.327560705265808,3.800285660675507,4.3905380208917535,3.3156172801331967,5.011755333137732,19.371010708009607
138.0,7.3235307050335585,8.090121092674709,4.494498720988886,17.002501859627138,15.042640716112986,2.499008019200704,9.161612042120336,3.818472646788851,4.2521390474047625,3.062983642339313,5.090124536973901,19.33645005511543
139.0,7.620599607289127,7.684331786701098,4.269317577039103,17.81599483210565,14.939397822671532,2.4565937106241202,8.965305894807369,3.852733703642739,4.116025227762956,2.9458113750026977,5.155995382543752,19.301917510828506
140.0,7.982584880709532,7.277970838760483,4.026947612637427,18.822946613229693,14.761983004214413,2.4081378076895485,8.747004913432642,3.9019771437502238,3.986517587264348,2.8075720482379767,5.2032856192743475,19.26741256408483
141.0,8.389252058577993,6.874376410140208,3.784553531308999,19.993730552423035,14.496261471458581,2.3554941470942112,8.516895713741494,3.9645004050186263,3.8682853150242154,2.658824803935333,5.225647624158252,19.23293516554904
142.0,8.830457100230136,6.47683138128819,3.559894437752936,21.297185791312966,14.130370635220379,2.3006049834312483,8.28512638251417,4.038369395139511,3.7659399016543125,2.509942204431182,5.217405720045862,19.198485265926035
143.0,9.303982203508935,6.381504835084691,3.3675817573616094,22.548879526528246,13.658976561080856,2.2452335556767866,8.05999094995937,4.121366265148467,3.6836269406275353,2.2901660501045966,5.174627715025865,19.16406363989304
144.0,9.808944784149748,5.712493002156358,3.2155419823505946,24.18184009428564,13.087788968870203,2.1908521756164263,7.846599023597645,4.21059677895486,3.624684882568693,2.242214614019236,5.095975012015458,18.8847716122263
145.0,10.340574929500098,5.351616534553589,3.104042844529102,25.699393885578147,12.436293477080635,2.1386700617229724,7.6463044261388395,4.302040859809251,3.591416151023428,2.130938685635236,4.983136431200202,18.605507409607643
146.0,10.889107089523112,5.008548202007974,3.0288385519855234,27.216728195486027,11.7374831867189,2.0898189556378823,7.45695330744758,4.390268481856646,3.58498925186317,2.0357645758736758,4.840499680498752,18.32626980881662
147.0,11.4393746910493,4.685698499213957,2.986492874185863,28.687366396103027,11.035082368779284,2.0455723139320625,7.273746059784388,4.468358049702288,3.6054461604830497,1.9567111248283655,4.674396993589795,18.04705841060434
148.0,11.967153057887039,4.385203833619947,2.978711783686333,30.05765149204815,10.379419853169148,2.0075139981045873,7.090421807832323,4.528032189647944,3.6517728416018462,1.8949167835177314,4.4920998951014415,17.767872815758917
149.0,12.433174000218681,4.10890324896967,3.0139012719700964,31.269467436499767,9.822398095672314,1.977539002524194,6.900525245918858,4.560185166105155,3.7219830051856477,1.8531610190489147,4.300887869709784,17.48871262510614
150.0,12.781835656947942,3.8583205657983712,3.105235822728284,32.267206238331774,9.41118787655474,1.9576253300161923,6.698637338890201,4.5560767380719405,3.8131808140454178,1.835270620235876,4.107340896019337,17.209577439507157
