genus	date	val	type
Candidatus Microthrix	2011-12-21	15.112566164122406	MG
Candidatus Microthrix	2011-12-28	17.221144627242214	MG
Candidatus Microthrix	2012-01-03	18.368496476444303	MG
Candidatus Microthrix	2012-01-11	21.623353023115193	MG
Candidatus Microthrix	2012-01-19	25.94703175679002	MG
Candidatus Microthrix	2012-01-25	31.34632388119566	MG
Candidatus Microthrix	2012-02-01	31.944408833773174	MG
Candidatus Microthrix	2012-02-08	29.027517647479876	MG
Candidatus Microthrix	2012-02-14	30.680245245805164	MG
Candidatus Microthrix	2012-02-23	31.645708711606567	MG
Candidatus Microthrix	2012-02-29	35.426955282103876	MG
Candidatus Microthrix	2012-03-08	39.666765830247286	MG
Candidatus Microthrix	2012-03-14	34.736512208334055	MG
Candidatus Microthrix	2012-03-22	39.19027959535295	MG
Candidatus Microthrix	2012-03-28	35.258902623823445	MG
Candidatus Microthrix	2012-04-04	33.8006629575964	MG
Candidatus Microthrix	2012-04-10	35.41645720662239	MG
Candidatus Microthrix	2012-04-17	33.59549938554699	MG
Candidatus Microthrix	2012-04-25	32.92317531830501	MG
Candidatus Microthrix	2012-05-03	35.71722355674771	MG
Chitinophaga pinensis	2011-03-21	7.055585423447146	MG
Chitinophaga pinensis	2011-03-29	7.383681411070449	MG
Chitinophaga pinensis	2011-04-05	7.00941691150132	MG
Chitinophaga pinensis	2011-04-14	7.997003871976808	MG
Chitinophaga pinensis	2011-04-21	10.094594457600893	MG
Chitinophaga pinensis	2011-04-29	10.864722596159373	MG
Chitinophaga pinensis	2011-05-06	11.357320011586332	MG
Chitinophaga pinensis	2011-05-13	12.094199957571801	MG
Chitinophaga pinensis	2011-05-20	14.640251705093174	MG
Chitinophaga pinensis	2011-05-27	12.665348021278803	MG
Chitinophaga pinensis	2011-06-03	11.024181392933688	MG
Chitinophaga pinensis	2011-06-09	15.500257079505232	MG
Chitinophaga pinensis	2011-06-17	15.876728807211128	MG
Chitinophaga pinensis	2011-06-24	13.902910652493734	MG
Chitinophaga pinensis	2011-07-01	11.614396906810166	MG
Chitinophaga pinensis	2011-07-08	12.50589774339121	MG
Chitinophaga pinensis	2011-08-05	15.085502567458876	MG
Chitinophaga pinensis	2011-08-11	13.658976561080856	MG
Chitinophaga pinensis	2011-08-19	9.180880843685543	MG
Chitinophaga pinensis	2011-08-29	14.377460546525217	MG
Chitinophaga pinensis	2011-09-05	17.155406475029682	MG
Chitinophaga pinensis	2011-09-12	11.674344757712833	MG
Chitinophaga pinensis	2011-09-19	8.676968786304364	MG
Chitinophaga pinensis	2011-09-28	12.159922889373364	MG
Chitinophaga pinensis	2011-10-05	18.232287928639234	MG
Chitinophaga pinensis	2011-10-12	20.868640231463658	MG
Chitinophaga pinensis	2011-11-02	11.914707619287814	MG
Chitinophaga pinensis	2011-11-07	12.10069353647776	MG
Chitinophaga pinensis	2011-11-16	6.641903176948982	MG
Chitinophaga pinensis	2011-11-23	3.6645891187851642	MG
Chitinophaga pinensis	2011-11-29	3.010867583669243	MG
Chitinophaga pinensis	2011-12-21	6.427432267276559	MG
Chitinophaga pinensis	2011-12-28	9.380614213531302	MG
Chitinophaga pinensis	2012-01-03	12.098318814722688	MG
Chitinophaga pinensis	2012-01-11	13.737964004595755	MG
Chitinophaga pinensis	2012-01-19	12.978567377463902	MG
Chitinophaga pinensis	2012-01-25	12.023852922644622	MG
Chitinophaga pinensis	2012-02-01	14.17355550320531	MG
Chitinophaga pinensis	2012-02-08	15.518290429602056	MG
Chitinophaga pinensis	2012-02-14	13.642047157812168	MG
Chitinophaga pinensis	2012-02-23	14.855270271570548	MG
Chitinophaga pinensis	2012-02-29	14.42926674058915	MG
Chitinophaga pinensis	2012-03-08	12.517364108053586	MG
Chitinophaga pinensis	2012-03-14	15.64212889977522	MG
Chitinophaga pinensis	2012-03-22	13.25581491879827	MG
Chitinophaga pinensis	2012-03-28	15.290748319633321	MG
Chitinophaga pinensis	2012-04-04	16.530150439837435	MG
Chitinophaga pinensis	2012-04-10	13.637170870609513	MG
Chitinophaga pinensis	2012-04-17	10.178731776791059	MG
Chitinophaga pinensis	2012-04-25	8.555754139909082	MG
Chitinophaga pinensis	2012-05-03	10.175993270439397	MG
Dechloromonas	2011-03-21	4.998286998752169	MG
Dechloromonas	2011-03-29	5.273043560129003	MG
Dechloromonas	2011-04-05	4.379088870648623	MG
Dechloromonas	2011-04-14	4.643599820129086	MG
Dechloromonas	2011-04-21	4.742677456646143	MG
Dechloromonas	2011-04-29	4.537953490147955	MG
Dechloromonas	2011-05-06	4.08289532160484	MG
Dechloromonas	2011-05-13	4.238107217645573	MG
Dechloromonas	2011-05-20	5.894671099854411	MG
Dechloromonas	2011-05-27	4.66760672645658	MG
Dechloromonas	2011-06-03	3.094196025552576	MG
Dechloromonas	2011-06-09	3.046707433477738	MG
Dechloromonas	2011-06-17	2.9461427588085196	MG
Dechloromonas	2011-06-24	1.9366464243380315	MG
Dechloromonas	2011-07-01	1.8463524568809815	MG
Dechloromonas	2011-07-08	2.3315054202424816	MG
Dechloromonas	2011-08-05	2.533976359180229	MG
Dechloromonas	2011-08-11	2.2452335556767866	MG
Dechloromonas	2011-08-19	1.9494147416084318	MG
Dechloromonas	2011-08-29	2.5966120587099435	MG
Dechloromonas	2011-09-05	3.5844363135774917	MG
Dechloromonas	2011-09-12	3.0117251990759044	MG
Dechloromonas	2011-09-19	2.442039642069041	MG
Dechloromonas	2011-09-28	2.5035657485383447	MG
Dechloromonas	2011-10-05	2.207536084126959	MG
Dechloromonas	2011-10-12	1.2924358471251884	MG
Dechloromonas	2011-11-02	0.8073128734704382	MG
Dechloromonas	2011-11-07	0.8918894263944397	MG
Dechloromonas	2011-11-16	0.6732943052506954	MG
Dechloromonas	2011-11-23	0.4041116501636095	MG
Dechloromonas	2011-11-29	0.5188256239782745	MG
Dechloromonas	2011-12-21	0.5489668041437453	MG
Dechloromonas	2011-12-28	0.6745106124624061	MG
Dechloromonas	2012-01-03	0.8287699684374553	MG
Dechloromonas	2012-01-11	0.9386043586943131	MG
Dechloromonas	2012-01-19	1.1981019877365533	MG
Dechloromonas	2012-01-25	0.9949824651822314	MG
Dechloromonas	2012-02-01	1.1072221598534977	MG
Dechloromonas	2012-02-08	1.6448725032914289	MG
Dechloromonas	2012-02-14	1.8350827071610447	MG
Dechloromonas	2012-02-23	2.015430531269651	MG
Dechloromonas	2012-02-29	1.9677745722726319	MG
Dechloromonas	2012-03-08	1.7384966980521692	MG
Dechloromonas	2012-03-14	1.9871412735759235	MG
Dechloromonas	2012-03-22	1.9502634134375652	MG
Dechloromonas	2012-03-28	2.0401778827800765	MG
Dechloromonas	2012-04-04	1.7861362424521157	MG
Dechloromonas	2012-04-10	2.1326096493402424	MG
Dechloromonas	2012-04-17	1.7063763303204578	MG
Dechloromonas	2012-04-25	1.6316122516901597	MG
Dechloromonas	2012-05-03	1.186381691681017	MG
Haliscomenobacter	2011-03-21	15.142619561769822	MG
Haliscomenobacter	2011-03-29	16.636265019314465	MG
Haliscomenobacter	2011-04-05	15.251432995984345	MG
Haliscomenobacter	2011-04-14	15.588237663295144	MG
Haliscomenobacter	2011-04-21	17.77683031888464	MG
Haliscomenobacter	2011-04-29	16.49082559893788	MG
Haliscomenobacter	2011-05-06	13.169229351127905	MG
Haliscomenobacter	2011-05-13	8.931109743209296	MG
Haliscomenobacter	2011-05-20	8.850158362673847	MG
Haliscomenobacter	2011-05-27	7.334045336297744	MG
Haliscomenobacter	2011-06-03	7.3736738194336136	MG
Haliscomenobacter	2011-06-09	10.479444422603944	MG
Haliscomenobacter	2011-06-17	10.825398929671728	MG
Haliscomenobacter	2011-06-24	8.448653331442928	MG
Haliscomenobacter	2011-07-01	8.097226824411049	MG
Haliscomenobacter	2011-07-08	8.591832469214113	MG
Haliscomenobacter	2011-08-05	9.327560705265808	MG
Haliscomenobacter	2011-08-11	8.05999094995937	MG
Haliscomenobacter	2011-08-19	6.481493866129768	MG
Haliscomenobacter	2011-08-29	5.0052689910445665	MG
Haliscomenobacter	2011-09-05	8.08975251612763	MG
Haliscomenobacter	2011-09-12	9.830710728697698	MG
Haliscomenobacter	2011-09-19	5.010307016671082	MG
Haliscomenobacter	2011-09-28	4.721156121619328	MG
Haliscomenobacter	2011-10-05	6.234834978569391	MG
Haliscomenobacter	2011-10-12	6.831139737257508	MG
Haliscomenobacter	2011-11-02	7.925580770720678	MG
Haliscomenobacter	2011-11-07	8.594986223782398	MG
Haliscomenobacter	2011-11-16	4.6934161004417705	MG
Haliscomenobacter	2011-11-23	2.2219724229958793	MG
Haliscomenobacter	2011-11-29	1.4943844863189306	MG
Haliscomenobacter	2011-12-21	3.857913385210917	MG
Haliscomenobacter	2011-12-28	4.308417488849057	MG
Haliscomenobacter	2012-01-03	4.722297646237354	MG
Haliscomenobacter	2012-01-11	6.404055128124453	MG
Haliscomenobacter	2012-01-19	6.523959073921303	MG
Haliscomenobacter	2012-01-25	5.658953048170382	MG
Haliscomenobacter	2012-02-01	5.8808403553257085	MG
Haliscomenobacter	2012-02-08	7.224037096431291	MG
Haliscomenobacter	2012-02-14	6.896561619141191	MG
Haliscomenobacter	2012-02-23	7.092474961196255	MG
Haliscomenobacter	2012-02-29	6.995215178180917	MG
Haliscomenobacter	2012-03-08	6.324572495398188	MG
Haliscomenobacter	2012-03-14	6.908446883489281	MG
Haliscomenobacter	2012-03-22	6.025092786425509	MG
Haliscomenobacter	2012-03-28	6.123766945737213	MG
Haliscomenobacter	2012-04-04	7.409830059312043	MG
Haliscomenobacter	2012-04-10	7.043423713224445	MG
