KO	FunC_1	FunC_2	FunC_3	FunC_4
K05825	1	1	1	0
K13772	1	1	1	1
K19519	1	1	1	1
K18555	1	1	1	1
K06896	1	1	1	1
K01174	1	1	1	1
K07511	1	1	1	0
K00548	1	1	1	1
K19270	1	0	1	1
K07119	1	0	1	1
K01011	1	1	1	1
K18096	1	0	1	1
K12035	1	1	1	1
K15876	1	1	1	1
K01834	1	1	1	1
K01488	1	1	1	1
K06891	1	1	1	1
K04485	1	1	1	1
K01601	1	0	1	1
K15546	1	1	1	1
K00281	1	1	1	1
K15599	1	0	1	0
K10301	1	1	1	1
K02437	1	1	1	1
K00605	1	1	1	1
K02614	1	1	1	1
K01912	1	1	1	1
K08591	1	1	1	1
K05540	1	1	1	1
K01939	1	1	1	1
K07101	1	0	1	0
K02111	1	1	1	1
K02137	1	1	1	1
K08295	1	1	1	0
K00773	1	1	1	1
K00185	1	1	1	1
K15856	1	1	1	1
K03325	1	1	1	1
K01046	1	1	1	1
K05773	1	0	1	0
K03598	1	0	1	1
K03597	1	1	1	1
K02031	1	1	1	1
K02034	1	1	1	1
K03611	1	0	1	1
K02502	1	0	1	1
K07002	1	1	1	1
K01247	1	1	1	1
K06442	1	0	1	1
K07673	1	1	1	1
K07684	1	0	1	1
K09919	1	1	1	1
K01821	1	0	1	0
K00342	1	1	1	1
K04567	1	1	1	1
K02039	1	1	1	1
K07636	1	1	1	1
K01900	1	1	1	1
K01899	1	1	1	1
K00050	1	0	1	1
K05880	1	0	1	0
K01567	1	1	1	1
K05712	1	0	1	0
K11915	1	1	1	1
K01724	1	1	1	1
K00500	1	1	1	0
K00335	1	1	1	1
K01817	1	1	1	1
K07093	1	1	1	1
K10716	1	1	1	1
K09781	1	1	1	1
K10773	1	1	1	1
K18588	1	0	1	1
K02575	1	1	1	1
K00285	1	1	1	0
K00027	1	1	1	1
K08264	1	1	1	1
K03074	1	0	1	1
K07054	1	1	1	1
K00674	1	1	1	1
K02056	1	0	1	1
K15318	1	0	1	1
K01956	1	1	1	1
K10218	1	0	1	0
K19055	1	0	1	1
K14987	1	1	1	1
K03590	1	1	1	1
K03589	1	1	1	1
K03531	1	1	1	1
K06955	1	0	1	1
K01894	1	0	1	1
K06402	1	1	1	1
K16260	1	1	1	1
K15777	1	1	1	1
K10747	1	1	1	1
K02232	1	0	1	1
K19221	1	0	1	1
K13283	1	1	1	1
K09967	1	0	1	0
K01911	1	1	1	1
K01159	1	1	1	1
K02011	1	0	1	1
K00632	1	1	1	1
K00113	1	1	1	1
K00370	1	1	1	1
K07399	1	1	1	1
K03648	1	1	1	1
K00620	1	0	1	1
K05813	1	0	1	0
K00818	1	1	1	1
K00611	1	0	1	1
K00395	1	1	1	0
K03497	1	1	1	1
K00604	1	1	1	1
K10804	1	1	1	1
K16291	1	1	1	1
K02448	1	1	1	1
K18828	1	1	1	1
K02115	1	1	1	1
K07183	1	0	1	0
K00989	1	1	1	1
K01924	1	1	1	1
K07007	1	1	1	1
K00018	1	1	1	0
K16898	1	1	1	1
K01028	1	1	1	1
K03702	1	1	1	1
K01783	1	1	1	1
K02238	1	1	1	1
K01439	1	0	1	1
K00765	1	1	1	1
K05501	1	0	1	0
K02967	1	1	1	1
K18372	1	1	1	0
K00450	1	0	1	1
K00480	1	1	1	1
K00031	1	1	1	1
K00663	1	1	1	1
K01965	1	1	1	1
K01465	1	1	1	1
K03595	1	1	1	1
K03685	1	1	1	1
K14054	1	1	1	1
K09861	1	1	1	1
K02548	1	1	1	1
K00954	1	1	1	1
K07045	1	1	1	1
K00133	1	1	1	1
K03723	1	1	1	1
K02992	1	1	1	1
K05928	1	1	1	1
K02950	1	1	1	1
K05814	1	0	1	0
K05815	1	0	1	0
K00957	1	1	1	1
K00423	1	1	1	1
K19345	1	1	1	0
K00330	1	1	1	1
K03101	1	1	1	1
K01870	1	1	1	1
K03654	1	1	1	1
K13292	1	1	1	1
K01091	1	1	1	1
K06895	1	1	1	1
K00526	1	1	1	1
K00147	1	1	1	1
K10563	1	0	1	1
K01736	1	1	1	1
K06920	1	0	1	1
K03782	1	1	1	0
K02224	1	0	1	1
K14393	1	1	1	1
K02275	1	1	1	1
K04739	1	0	1	1
K15981	1	0	1	1
K01253	1	0	0	0
K15526	1	0	0	0
K06988	1	1	1	1
K09820	1	1	1	1
K08256	1	1	1	1
K17884	1	1	0	0
K03530	1	1	1	1
K01522	1	0	1	1
K04518	1	1	0	0
K14652	1	1	1	1
K15376	1	1	0	1
K17828	1	0	0	0
K01955	1	1	1	1
K00130	1	1	1	1
K08726	1	1	1	1
K12452	1	0	1	1
K07406	1	0	0	0
K11939	1	0	1	0
K00058	1	1	1	1
K06890	1	1	1	1
K02851	1	1	1	1
K00876	1	1	0	1
K12410	1	1	1	1
K07057	1	0	0	0
K16567	1	1	0	0
K07281	1	1	1	1
K03709	1	1	0	0
K18990	1	0	1	1
K01634	1	1	0	1
K16163	1	0	0	0
K15257	1	0	1	1
K09386	1	1	1	1
K03703	1	1	1	1
K05576	1	1	0	1
K05578	1	1	0	1
K00338	1	1	1	1
K01895	1	1	1	1
K14166	1	0	1	0
K00337	1	1	1	1
K13378	1	1	1	1
K00331	1	1	0	1
K05574	1	1	0	1
K03466	1	1	1	1
K11913	1	1	1	1
K00334	1	0	1	1
K05991	1	1	0	1
K01066	1	1	1	1
K06015	1	1	0	1
K07044	1	1	1	1
K01808	1	1	0	1
K07243	1	1	1	1
K03977	1	1	1	1
K07245	1	1	1	1
K08999	1	1	0	1
K01471	1	1	1	1
K01966	1	1	1	1
K01621	1	0	1	1
K01679	1	1	1	1
K02204	1	1	1	1
K00249	1	1	1	1
K14335	1	1	1	1
K04750	1	1	1	1
K07224	1	0	0	1
K00231	1	1	1	1
K01039	1	0	1	1
K01040	1	0	1	0
K02371	1	1	1	0
K03386	1	1	1	1
K03387	1	0	1	1
K04761	1	1	1	1
K18204	1	0	1	1
K09940	1	1	1	1
K05845	1	0	0	1
K05846	1	0	0	1
K01251	1	1	1	1
K01129	1	1	1	1
K07506	1	1	1	1
K06996	1	1	1	1
K03575	1	1	1	1
K06978	1	1	1	1
K01784	1	1	1	1
K01524	1	1	1	1
K08995	1	1	1	0
K09013	1	1	1	1
K09700	1	0	1	1
K09014	1	1	1	1
K15372	1	1	0	0
K10805	1	0	1	1
K00812	1	1	1	1
K06167	1	1	1	1
K00320	1	0	1	0
K01740	1	0	1	1
K05714	1	1	1	1
K00477	1	1	1	1
K14728	1	0	1	0
K00261	1	1	1	1
K09020	1	0	1	1
K00387	1	1	0	1
K03885	1	1	1	1
K08217	1	1	1	1
K11530	1	1	1	1
K01874	1	1	1	1
K04091	1	0	1	1
K05282	1	1	0	0
K07725	1	1	1	1
K01442	1	1	0	0
K01421	1	1	1	1
K09813	1	0	0	1
K15261	1	0	1	1
K03748	1	1	1	1
K15525	1	1	1	1
K14941	1	0	1	0
K14479	1	1	1	0
K18199	1	0	0	0
K14055	1	1	1	1
K08978	1	1	1	1
K04487	1	1	1	1
K06384	1	1	0	1
K11729	1	1	1	1
K16557	1	1	0	1
K00566	1	1	1	1
K19225	1	1	1	1
K16146	1	0	0	0
K08369	1	1	1	1
K02747	1	0	1	0
K00262	1	1	1	1
K00389	1	1	0	0
K19329	1	0	1	1
K07029	1	1	1	1
K01206	1	1	0	0
K00219	1	1	1	1
K07978	1	0	0	0
K08219	1	0	0	0
K18230	1	0	1	0
K01062	1	1	1	1
K06039	1	1	1	1
K00784	1	1	1	1
K00010	1	1	0	1
K06208	1	0	0	0
K14331	1	0	0	1
K03833	1	0	0	1
K06346	1	0	0	1
K03111	1	1	1	1
K04116	1	0	1	0
K15975	1	0	0	0
K00074	1	1	1	1
K00928	1	1	1	1
K02499	1	1	1	1
K16652	1	1	1	1
K01551	1	1	1	1
K07403	1	1	1	1
K01042	1	0	0	1
K01079	1	1	1	1
K00616	1	1	1	1
K00728	1	0	0	1
K07151	1	1	0	1
K07031	1	1	1	1
K05303	1	1	1	1
K14475	1	1	0	1
K10615	1	1	0	1
K03969	1	1	1	1
K06113	1	1	0	1
K17837	1	1	1	1
K02405	1	0	1	1
K01443	1	1	0	1
K01425	1	1	1	1
K02480	1	1	1	1
K06994	1	0	0	0
K13527	1	0	0	1
K05337	1	1	1	1
K07442	1	1	0	1
K14168	1	0	0	1
K03154	1	1	1	1
K13571	1	0	0	1
K00441	1	1	1	0
K02334	1	1	1	1
K07005	1	1	1	1
K03754	1	0	0	0
K03521	1	1	1	1
K18955	1	0	0	1
K17950	1	0	0	0
K17803	1	1	1	1
K12256	1	0	1	0
K00259	1	1	1	1
K11070	1	0	1	1
K03718	1	1	1	1
K09471	1	1	1	1
K11071	1	1	0	1
K15781	1	1	1	1
K01055	1	1	1	1
K07465	1	1	0	0
K07133	1	1	1	1
K18059	1	0	1	0
K07098	1	1	1	1
K08225	1	1	1	1
K09523	1	1	1	1
K01929	1	1	1	1
K01921	1	1	1	1
K02282	1	0	0	1
K07284	1	0	0	1
K08359	1	0	0	0
K03574	1	1	1	1
K03525	1	1	1	1
K11933	1	0	1	1
K00508	1	1	1	1
K11159	1	1	1	1
K00955	1	1	1	1
K07746	1	1	1	1
K07171	1	1	1	1
K01548	1	1	1	1
K01547	1	1	1	1
K01546	1	1	1	1
K07667	1	1	1	1
K07646	1	1	1	1
K07727	1	1	1	0
K11188	1	1	1	1
K02010	1	0	1	0
K05515	1	1	1	1
K09811	1	1	1	1
K09812	1	1	1	1
K02899	1	1	1	1
K02888	1	1	1	1
K08300	1	0	1	1
K11754	1	1	1	1
K18572	1	0	1	0
K14826	1	1	1	1
K00038	1	1	1	1
K18918	1	0	1	1
K08764	1	1	1	1
K17830	1	1	0	1
K07407	1	1	0	1
K02636	1	1	0	1
K02635	1	0	1	1
K03935	1	0	1	1
K14107	1	0	1	1
K06962	1	0	0	1
K03976	1	0	1	0
K03724	1	1	1	1
K10782	1	0	0	0
K18958	1	0	0	0
K06196	1	1	1	1
K01069	1	1	1	1
K05747	1	1	1	1
K01113	1	1	1	1
K10533	1	1	1	1
K16555	1	1	1	1
K03392	1	1	1	0
K07027	1	1	1	1
K00598	1	1	1	1
K06139	1	1	1	1
K08776	1	0	0	1
K03651	1	1	1	1
K01971	1	1	1	1
K18009	1	1	1	1
K18425	1	1	1	0
K18700	1	1	0	1
K03592	1	0	1	1
K02279	1	1	1	1
K03639	1	1	1	1
K19294	1	1	1	1
K11654	1	1	1	1
K18233	1	1	1	1
K18232	1	0	1	1
K11329	1	0	1	1
K07147	1	1	1	1
K02069	1	0	0	0
K03208	1	1	1	1
K12234	1	0	1	1
K11153	1	1	1	1
K03847	1	0	0	0
K11212	1	0	1	0
K06975	1	1	1	1
K07168	1	1	1	1
K09795	1	0	0	1
K02654	1	1	1	1
K16937	1	1	0	0
K04343	1	0	0	0
K05525	1	0	1	0
K03606	1	1	1	1
K09692	1	0	0	1
K09693	1	0	0	0
K12445	1	0	0	1
K03046	1	1	1	1
K00652	1	1	1	1
K07182	1	1	1	1
K17829	1	0	0	0
K05606	1	1	1	1
K07493	1	1	1	1
K02854	1	1	1	0
K13955	1	1	1	1
K16014	1	0	0	0
K00426	1	1	1	1
K00425	1	1	1	1
K07149	1	1	1	0
K07113	1	0	1	1
K02184	1	1	0	1
K12284	1	1	1	1
K15928	1	0	0	0
K13584	1	0	0	0
K04745	1	0	0	0
K16648	1	1	0	1
K18923	1	1	1	1
K12351	1	1	0	0
K06877	1	0	1	1
K18445	1	1	0	1
K00657	1	1	1	1
K09162	1	0	0	1
K11955	1	0	0	0
K11957	1	0	0	0
K11958	1	0	0	0
K11954	1	0	0	1
K14683	1	0	0	0
K02283	1	0	1	1
K12510	1	0	1	1
K12511	1	0	1	1
K04757	1	1	1	1
K05565	1	0	0	0
K05559	1	0	1	0
K05567	1	0	0	0
K01858	1	1	0	1
K11265	1	0	1	1
K03333	1	1	1	1
K18305	1	1	0	0
K07161	1	1	1	1
K07028	1	1	1	1
K07695	1	0	1	1
K19311	1	0	1	0
K03727	1	0	0	1
K13570	1	0	0	1
K03433	1	0	0	1
K03432	1	0	0	1
K13573	1	1	1	1
K12941	1	1	0	0
K03465	1	0	1	1
K18816	1	1	1	1
K17883	1	0	0	0
K00857	1	1	1	1
K13774	1	1	1	1
K00927	1	1	1	1
K00134	1	1	1	1
K17870	1	1	0	1
K01619	1	1	1	1
K17867	1	1	1	1
K00574	1	1	1	1
K09701	1	1	1	1
K06954	1	1	1	1
K04075	1	1	1	1
K15780	1	1	1	1
K05349	1	1	1	0
K14733	1	1	1	1
K10955	1	1	1	1
K07458	1	1	0	0
K14267	1	0	1	0
K02217	1	1	1	1
K09825	1	1	1	1
K07322	1	1	1	1
K01761	1	1	1	1
K00729	1	1	0	1
K07006	1	1	1	1
K01436	1	1	0	1
K01589	1	1	1	1
K09147	1	0	0	1
K00764	1	1	1	1
K01933	1	1	1	1
K16692	1	1	1	1
K02470	1	1	1	1
K02003	1	1	1	0
K05558	1	0	1	0
K08281	1	1	1	1
K00763	1	1	1	1
K02577	1	1	0	0
K14215	1	0	0	0
K13542	1	1	1	1
K01926	1	0	0	0
K09134	1	1	0	1
K15521	1	1	0	1
K15973	1	1	1	1
K15635	1	0	1	1
K07485	1	1	1	1
K01733	1	1	1	1
K00003	1	1	1	1
K04095	1	1	1	1
K03889	1	1	0	1
K03890	1	0	0	0
K03819	1	0	0	0
K02879	1	1	1	1
K06173	1	1	1	1
K00969	1	1	1	1
K01951	1	1	1	1
K02033	1	1	1	1
K02032	1	1	1	1
K08166	1	0	1	1
K00518	1	0	0	1
K05847	1	0	0	1
K02182	1	1	1	1
K03328	1	1	1	1
K13379	1	0	0	0
K07393	1	0	1	1
K10215	1	1	1	0
K06893	1	1	1	1
K00682	1	0	0	1
K19591	1	1	1	1
K08104	1	1	1	0
K10012	1	1	1	1
K02805	1	1	0	1
K19310	1	1	0	1
K05592	1	1	1	1
K02167	1	0	1	1
K08363	1	1	0	0
K03784	1	1	1	0
K00858	1	1	1	1
K13693	1	1	0	1
K00949	1	1	0	0
K16264	1	1	1	1
K07768	1	0	0	0
K07776	1	0	0	1
K05275	1	1	1	0
K10255	1	1	1	1
K00033	1	1	1	1
K00036	1	1	1	1
K01057	1	1	1	1
K04762	1	1	1	1
K06199	1	1	1	1
K18661	1	0	1	0
K07653	1	0	0	1
K07669	1	0	0	1
K06006	1	1	1	1
K03281	1	1	1	1
K03437	1	1	1	1
K00547	1	0	0	1
K00697	1	1	1	1
K01087	1	0	1	1
K09710	1	1	1	1
K16843	1	1	1	1
K18398	1	1	0	1
K13641	1	0	1	1
K01661	1	1	0	1
K07246	1	0	1	1
K04074	1	1	0	1
K00864	1	1	1	1
K09927	1	0	1	1
K06977	1	1	1	0
K06888	1	1	0	1
K09772	1	0	0	0
K00075	1	1	1	1
K01928	1	1	1	1
K03800	1	0	1	1
K07670	1	0	0	1
K07654	1	0	0	0
K06298	1	1	0	1
K00850	1	1	1	1
K00803	1	1	1	1
K01114	1	1	1	1
K07164	1	1	0	1
K00757	1	1	0	0
K10807	1	1	1	0
K00854	1	1	1	0
K12405	1	1	1	1
K03614	1	1	1	1
K00503	1	1	0	1
K06976	1	1	0	1
K18665	1	1	1	1
K14742	1	1	1	1
K19224	1	1	0	1
K07050	1	0	1	1
K02445	1	0	1	1
K08167	1	0	0	0
K07376	1	0	1	1
K00156	1	1	0	1
K00284	1	1	1	1
K01133	1	1	0	1
K12954	1	0	0	0
K00590	1	1	1	1
K17677	1	1	1	1
K12955	1	0	0	0
K17733	1	1	1	1
K07159	1	0	0	0
K00768	1	1	1	1
K02226	1	0	1	1
K04756	1	1	0	1
K13810	1	0	1	1
K12999	1	1	1	1
K11779	1	0	1	0
K16422	1	0	1	1
K00076	1	1	1	0
K09561	1	0	0	0
K17228	1	0	1	0
K01758	1	1	1	1
K02434	1	1	1	1
K02433	1	1	1	1
K02435	1	1	1	1
K14451	1	0	1	0
K08691	1	0	1	0
K08384	1	1	0	1
K05364	1	0	0	1
K05307	1	0	0	0
K15013	1	1	1	1
K01090	1	1	1	1
K06123	1	1	1	0
K03649	1	1	1	1
K00761	1	1	1	1
K01847	1	1	1	1
K03822	1	0	0	1
K07542	1	1	0	1
K14340	1	1	1	0
K08602	1	1	1	1
K05786	1	0	1	1
K06960	1	0	0	1
K15916	1	1	0	0
K09791	1	0	1	1
K01840	1	1	1	1
K02446	1	0	0	0
K07020	1	0	0	0
K14628	1	0	0	0
K18346	1	1	0	1
K14729	1	0	1	0
K06221	1	1	1	1
K14698	1	0	0	0
K08974	1	0	0	1
K09118	1	0	0	0
K02288	1	0	0	1
K07177	1	0	0	0
K15868	1	0	1	0
K06188	1	1	1	1
K06878	1	1	0	0
K01880	1	1	0	1
K16927	1	0	0	1
K16786	1	1	1	0
K16785	1	0	0	1
K07228	1	1	0	1
K11494	1	1	0	0
K16320	1	0	1	0
K07104	1	1	1	1
K13985	1	1	1	1
K07229	1	0	0	0
K18091	1	0	0	0
K08997	1	1	1	1
K14449	1	0	1	1
K05350	1	1	1	1
K11705	1	1	0	0
K09818	1	1	1	1
K12349	1	1	1	1
K01468	1	1	1	1
K05603	1	0	1	1
K01745	1	1	1	1
K09684	1	1	0	0
K02074	1	0	1	0
K02075	1	0	1	1
K01182	1	1	1	1
K02077	1	0	1	0
K03073	1	1	1	1
K02601	1	1	1	1
K03975	1	1	1	1
K11936	1	1	1	1
K01940	1	1	1	1
K02063	1	0	1	0
K04517	1	0	1	0
K15734	1	1	1	1
K11731	1	0	1	0
K02064	1	0	1	0
K00146	1	1	1	0
K00145	1	1	1	1
K03402	1	0	0	1
K06987	1	1	1	1
K00239	1	1	1	1
K00240	1	1	0	1
K03734	1	1	1	1
K17247	1	0	1	1
K07214	1	1	0	1
K17362	1	1	1	1
K01563	1	1	1	1
K18476	1	0	1	1
K10112	1	1	1	1
K17527	1	0	0	1
K00517	1	0	1	1
K03478	1	1	1	1
K18455	1	1	0	0
K02862	1	0	0	0
K03498	1	1	1	1
K03499	1	1	1	1
K15408	1	0	0	0
K02276	1	1	1	1
K02277	1	1	1	1
K12574	1	0	1	1
K18481	1	0	0	1
K14441	1	1	1	1
K12866	1	0	0	0
K03742	1	1	1	1
K03752	1	1	1	1
K19300	1	0	0	0
K16048	1	1	1	1
K14447	1	0	0	1
K04043	1	1	1	1
K02347	1	1	0	1
K16330	1	1	0	0
K03696	1	1	0	1
K07067	1	0	0	0
K00865	1	1	0	1
K02825	1	1	1	1
K16020	1	0	0	0
K13829	1	1	1	1
K13832	1	1	1	1
K07447	1	1	1	1
K03072	1	0	1	1
K02552	1	1	0	1
K01796	1	0	1	1
K08680	1	0	0	1
K02551	1	1	1	1
K10133	1	0	1	0
K07999	1	1	0	1
K01669	1	1	1	1
K01608	1	0	1	0
K14250	1	0	1	0
K00867	1	0	0	0
K06158	1	1	1	1
K12960	1	1	1	1
K03783	1	1	1	1
K12663	1	1	1	1
K15982	1	0	0	1
K03713	1	1	1	1
K03405	1	1	0	1
K08640	1	1	1	1
K00137	1	0	0	0
K11069	1	0	1	1
K08172	1	0	1	0
K01578	1	0	1	0
K16645	1	1	1	1
K16914	1	0	0	0
K02377	1	1	1	1
K03524	1	1	1	1
K02619	1	1	1	0
K01665	1	1	1	1
K08678	1	1	1	1
K09761	1	1	1	1
K10398	1	1	1	1
K16039	1	0	1	1
K12443	1	0	0	0
K02834	1	1	1	1
K09764	1	0	0	1
K00556	1	1	0	1
K01579	1	1	1	1
K15383	1	1	1	1
K03340	1	0	0	1
K16046	1	0	0	1
K11168	1	1	1	1
K01785	1	1	0	1
K07317	1	1	1	1
K12111	1	1	0	0
K14084	1	1	1	1
K05967	1	1	1	1
K07503	1	1	1	1
K06207	1	1	1	1
K14205	1	0	1	0
K01191	1	1	0	0
K06999	1	1	1	1
K01470	1	0	1	1
K03855	1	0	0	0
K00313	1	0	0	0
K01446	1	1	0	0
K09966	1	1	1	1
K00135	1	1	1	0
K05522	1	0	0	0
K06871	1	1	1	1
K10979	1	1	1	1
K01469	1	0	1	1
K04488	1	0	1	1
K11065	1	1	1	1
K07071	1	1	1	1
K16164	1	1	1	1
K06193	1	1	1	1
K18917	1	0	1	1
K11730	1	1	1	1
K01008	1	1	1	1
K01053	1	1	1	1
K12466	1	0	0	0
K03929	1	1	1	1
K14163	1	1	0	1
K14358	1	1	0	1
K08981	1	1	1	1
K00849	1	1	0	1
K13384	1	1	1	1
K15779	1	0	0	1
K00856	1	1	1	1
K16247	1	1	0	1
K12598	1	0	0	0
K12343	1	1	1	1
K00303	1	1	1	1
K18622	1	0	1	0
K07058	1	1	1	1
K07145	1	0	1	0
K01438	1	1	1	1
K00175	1	1	1	1
K00174	1	1	1	1
K17947	1	1	1	0
K09931	1	1	1	1
K18682	1	1	0	1
K02358	1	1	1	1
K02970	1	1	1	1
K07100	1	0	0	1
K08372	1	1	1	1
K09884	1	1	0	0
K01835	1	1	1	1
K19002	1	1	1	1
K15559	1	0	0	0
K13195	1	1	1	1
K03206	1	1	0	1
K03148	1	1	1	1
K02485	1	1	1	1
K12063	1	0	1	1
K03199	1	0	1	0
K11625	1	0	0	0
K05820	1	0	1	1
K05298	1	1	0	1
K00852	1	1	1	1
K07652	1	0	0	1
K02672	1	0	1	1
K01144	1	1	1	1
K07316	1	1	1	1
K03973	1	1	1	0
K11693	1	0	1	0
K03652	1	1	1	1
K10771	1	1	0	0
K01892	1	1	1	1
K18893	1	0	1	1
K00520	1	0	1	1
K06881	1	1	0	1
K07443	1	1	1	1
K00615	1	1	1	1
K07009	1	0	0	0
K02652	1	0	1	1
K14597	1	0	0	1
K08972	1	1	1	1
K01012	1	1	1	1
K09527	1	1	1	1
K07023	1	0	0	1
K06905	1	1	1	1
K00986	1	1	1	1
K02029	1	0	1	1
K07010	1	0	1	1
K13278	1	1	1	1
K13745	1	1	1	1
K12426	1	0	0	1
K01628	1	1	1	1
K06330	1	1	1	1
K11811	1	0	1	1
K15352	1	1	1	1
K17257	1	1	1	1
K01476	1	1	1	1
K01322	1	1	1	1
K13622	1	1	1	1
K02342	1	1	1	1
K01497	1	1	1	1
K12067	1	0	1	1
K12066	1	0	1	1
K03306	1	1	1	1
K00924	1	1	1	1
K03608	1	0	1	1
K03609	1	1	1	1
K01007	1	1	1	1
K02584	1	1	1	1
K08869	1	1	1	1
K16050	1	1	0	1
K01464	1	1	0	1
K00798	1	1	1	1
K13525	1	1	1	1
K12417	1	1	0	1
K03638	1	0	1	1
K03523	1	1	1	1
K04767	1	1	1	1
K08603	1	1	1	1
K08364	1	1	1	1
K08969	1	1	0	1
K01782	1	1	1	1
K08100	1	1	1	1
K13669	1	0	0	1
K06926	1	1	1	1
K04042	1	1	1	1
K10780	1	1	0	1
K00639	1	1	1	1
K02171	1	1	0	1
K06016	1	0	0	1
K01299	1	1	1	1
K16153	1	1	1	1
K06595	1	0	0	1
K02294	1	1	1	1
K01022	1	1	0	1
K17756	1	1	1	1
K02007	1	1	1	1
K06858	1	1	1	1
K16784	1	0	0	1
K03828	1	1	1	1
K09251	1	1	0	1
K11021	1	1	1	1
K02006	1	0	0	1
K03684	1	1	1	1
K01081	1	1	0	1
K06894	1	1	1	1
K18203	1	0	1	1
K09136	1	0	1	1
K18702	1	0	0	1
K05946	1	1	1	1
K00204	1	0	1	1
K07080	1	0	1	1
K07497	1	1	1	1
K03610	1	0	1	1
K00485	1	1	0	1
K07165	1	1	1	1
K07192	1	1	1	1
K00060	1	0	1	1
K10297	1	1	0	1
K10843	1	0	0	1
K02574	1	1	1	1
K15016	1	1	1	1
K00809	1	1	0	1
K00103	1	1	1	1
K13522	1	1	1	1
K13671	1	0	1	1
K04108	1	0	1	1
K18843	1	1	1	1
K11150	1	0	1	1
K15582	1	0	1	1
K03841	1	1	0	1
K01489	1	1	1	1
K01459	1	0	1	1
K07452	1	1	1	1
K19147	1	1	1	1
K01318	1	1	1	1
K07167	1	1	1	1
K11645	1	1	0	1
K03811	1	1	1	1
K01493	1	1	1	1
K07296	1	0	0	1
K05299	1	1	1	1
K06907	1	1	1	1
K11904	1	1	1	1
K09144	1	1	1	1
K00758	1	0	1	1
K13788	1	1	1	1
K04654	1	1	1	1
K03549	1	1	1	1
K02639	1	0	1	1
K11621	1	1	1	1
K00662	1	1	0	1
K07404	1	1	1	1
K13582	1	1	1	1
K00705	1	1	1	1
K14194	1	1	1	1
K07736	1	0	0	1
K10534	1	0	1	1
K00612	1	1	1	1
K02411	1	1	1	1
K06223	1	1	1	1
K07096	1	1	0	1
K07066	1	1	1	1
K01193	1	1	0	1
K09981	1	1	1	1
K07004	1	1	1	1
K07053	1	1	1	1
K04659	1	1	1	1
K01297	1	1	1	1
K00575	1	0	1	1
K00569	1	1	1	1
K09516	1	1	1	1
K00054	1	1	0	1
K07110	1	1	1	1
K07313	1	1	1	1
K04027	1	0	0	1
K08697	1	0	0	1
K15519	1	1	0	1
K06937	1	0	1	1
K07401	1	0	0	1
K05373	1	0	1	1
K02164	1	1	1	1
K13680	1	1	0	1
K00020	1	0	1	1
K18169	1	1	1	1
K18286	1	0	0	1
K06919	1	1	1	1
K18297	1	0	1	1
K07038	1	1	1	1
K00428	1	1	1	1
K07064	1	1	1	1
K09815	1	0	1	1
K05824	1	0	0	1
K19295	1	1	1	1
K01216	1	1	1	1
K01153	1	1	1	1
K02477	1	1	1	1
K00161	1	1	0	1
K00162	1	1	0	1
K05384	1	1	1	1
K09792	1	1	1	1
K02348	1	1	1	1
K05916	1	1	1	1
K07444	1	1	1	1
K12513	1	0	0	1
K02674	1	0	1	1
K09121	1	0	0	1
K06903	1	1	1	1
K11162	1	1	0	1
K10106	1	1	0	1
K04656	1	0	1	1
K13486	1	0	1	1
K12263	1	1	1	1
K03547	1	1	1	1
K13587	1	0	1	1
K00301	1	1	1	1
K06959	1	1	1	1
K02569	1	0	1	1
K02170	1	1	1	1
K05386	1	1	0	1
K08587	1	0	1	1
K03817	1	1	1	1
K05989	1	1	0	1
K05802	1	1	1	1
K00974	1	1	1	1
K01178	1	1	1	1
K03943	1	1	1	1
K04028	1	0	0	1
K16052	1	1	1	1
K15772	1	0	0	1
K01962	1	1	1	1
K19068	1	0	1	1
K19267	1	1	0	1
K00819	1	1	1	1
K00226	1	1	1	1
K14085	1	1	1	1
K09167	1	1	1	1
K06971	1	0	0	1
K18911	1	1	1	1
K16879	1	0	1	1
K09835	1	1	1	1
K08989	1	1	1	1
K02651	1	0	1	1
K15256	1	1	1	1
K07454	1	1	1	1
K00448	1	0	1	1
K13995	1	0	1	1
K14440	1	1	1	1
K15837	1	1	0	1
K03791	1	0	1	1
K14201	1	0	0	1
K07675	1	1	1	1
K19370	1	1	1	1
K08482	1	1	0	1
K01006	1	1	1	1
K09858	1	0	1	1
K07459	1	1	1	1
K01968	1	1	1	1
K11450	1	1	0	1
K09000	1	1	1	1
K06200	1	1	1	1
K01273	1	1	1	1
K09763	1	0	0	1
K16857	1	1	0	1
K09936	1	1	1	1
K15907	1	0	0	1
K19076	1	1	1	1
K07327	1	0	1	1
K00464	1	0	1	1
K14286	1	0	0	1
K00823	1	1	0	1
K17993	1	0	0	1
K16915	1	0	0	1
K03313	1	1	1	1
K07513	1	1	1	1
K12388	1	1	1	1
K19171	1	1	1	1
K03580	1	1	1	1
K04770	1	0	1	1
K14415	1	1	1	1
K01974	1	0	1	1
K07507	1	1	1	1
K13612	1	0	0	1
K03821	1	1	1	1
K18231	1	1	0	1
K14645	1	1	1	1
K00720	1	1	0	1
K02291	1	1	1	1
K10027	1	1	0	1
K12992	1	1	1	1
K00975	1	1	1	1
K15358	1	1	1	1
K01406	1	1	1	1
K16168	1	0	0	1
K17570	1	1	0	1
K08952	1	1	1	1
K17880	1	0	0	1
K04026	1	0	0	1
