KO	FunC_1	FunC_2	FunC_3	FunC_4
K19303	1	0	1	0
K03686	1	1	1	1
K00215	1	1	1	1
K03556	1	1	1	1
K00042	1	0	1	1
K01585	1	1	1	1
K00525	1	1	1	1
K03809	1	0	1	1
K07386	1	1	1	1
K06179	1	1	1	1
K03787	1	1	1	1
K01596	1	1	1	1
K09994	1	1	1	1
K07712	1	0	1	1
K00568	1	1	1	1
K03578	1	0	1	0
K02563	1	1	1	1
K01923	1	1	1	1
K05801	1	1	1	1
K02495	1	1	1	1
K01887	1	1	1	1
K06231	1	1	1	1
K01482	1	1	1	1
K03671	1	1	1	1
K09694	1	1	1	1
K07003	1	1	1	1
K09695	1	1	1	1
K07461	1	1	1	1
K16246	1	0	1	1
K06133	1	1	1	1
K16431	1	1	1	0
K07052	1	1	1	1
K03637	1	1	1	1
K03636	1	1	1	1
K03635	1	1	1	1
K04780	1	0	1	1
K00356	1	1	1	1
K02482	1	1	1	1
K06889	1	1	1	1
K17609	1	1	1	1
K07218	1	1	1	1
K06596	1	0	1	1
K01937	1	1	1	1
K05520	1	1	1	1
K02454	1	0	1	1
K14953	1	1	1	1
K04773	1	1	1	1
K08234	1	1	1	1
K09165	1	1	1	1
K02838	1	1	1	1
K09903	1	1	1	1
K00806	1	1	1	1
K01077	1	1	1	1
K15371	1	0	1	1
K00655	1	1	1	1
K15977	1	1	1	1
K09930	1	0	1	1
K01972	1	1	1	1
K02668	1	0	1	1
K07400	1	1	1	1
K17758	1	1	1	1
K06925	1	1	1	1
K06287	1	1	1	1
K03550	1	1	1	1
K02337	1	1	1	1
K08679	1	1	1	1
K07560	1	1	1	1
K03086	1	1	1	1
K15468	1	0	1	1
K01127	1	1	1	1
K00406	1	1	1	1
K07154	1	1	1	1
K09796	1	0	1	1
K08483	1	1	1	1
K09019	1	0	1	0
K03286	1	1	1	1
K09788	1	0	1	0
K01092	1	1	1	1
K00121	1	0	1	1
K14647	1	0	1	0
K06013	1	1	1	1
K02483	1	1	1	1
K02484	1	1	1	1
K00564	1	0	1	1
K03582	1	1	1	1
K07679	1	1	1	1
K03924	1	1	1	1
K03112	1	0	1	1
K03177	1	1	1	1
K02956	1	1	1	1
K03446	1	1	1	1
K02897	1	1	1	1
K00948	1	1	1	1
K13818	1	1	1	1
K03750	1	1	1	1
K00587	1	1	1	1
K00052	1	1	1	1
K08365	1	1	1	1
K18480	1	1	1	1
K01073	1	1	1	1
K06942	1	1	1	1
K00627	1	1	1	1
K17103	1	1	1	1
K06024	1	1	1	1
K06178	1	1	1	1
K01790	1	1	1	1
K00973	1	1	1	1
K01061	1	1	1	1
K01925	1	1	1	1
K00067	1	1	1	1
K14673	1	1	1	1
K07075	1	1	1	1
K06400	1	1	1	1
K06213	1	1	1	1
K11808	1	1	1	1
K02227	1	0	1	1
K06949	1	1	1	1
K03183	1	1	1	1
K06181	1	1	1	1
K01286	1	1	1	1
K02557	1	1	1	1
K11263	1	0	1	1
K01640	1	1	1	1
K15773	1	1	1	1
